park,type,name_ja,official_url,mobile_order,priority_seating,verified_on
東京ディズニーシー,レストラン,ケープコッド・クックオフ,https://www.tokyodisneyresort.jp/tds/restaurant/detail/446/,true,false,2026-08-03
東京ディズニーシー,レストラン,ザンビーニブラザーズリストランテ,https://www.tokyodisneyresort.jp/tds/restaurant/detail/403/,true,false,2026-08-03
東京ディズニーシー,レストラン,スナグリーダックリング,https://www.tokyodisneyresort.jp/tds/restaurant/detail/413/,true,false,2026-08-03
東京ディズニーシー,レストラン,セバスチャンのカリプソキッチン,https://www.tokyodisneyresort.jp/tds/restaurant/detail/468/,true,false,2026-08-03
東京ディズニーシー,レストラン,テディ・ルーズヴェルト・ラウンジ,https://www.tokyodisneyresort.jp/tds/restaurant/detail/429/,false,true,2026-08-03
東京ディズニーシー,レストラン,トロピック・アルズ,https://www.tokyodisneyresort.jp/tds/restaurant/detail/457/,false,false,2026-08-03
東京ディズニーシー,レストラン,ドックサイドダイナー,https://www.tokyodisneyresort.jp/tds/restaurant/detail/441/,true,false,2026-08-03
東京ディズニーシー,レストラン,ニューヨーク・デリ,https://www.tokyodisneyresort.jp/tds/restaurant/detail/422/,true,false,2026-08-03
東京ディズニーシー,レストラン,ノーチラスギャレー,https://www.tokyodisneyresort.jp/tds/restaurant/detail/421/,true,false,2026-08-03
東京ディズニーシー,レストラン,ハドソンリバー・ハーベスト,https://www.tokyodisneyresort.jp/tds/restaurant/detail/498/,true,false,2026-08-03
東京ディズニーシー,レストラン,ベイサイド・テイクアウト,https://www.tokyodisneyresort.jp/tds/restaurant/detail/453/,true,false,2026-08-03
東京ディズニーシー,レストラン,ホライズンベイ・レストラン,https://www.tokyodisneyresort.jp/tds/restaurant/detail/451/,false,true,2026-08-03
東京ディズニーシー,レストラン,マゼランズ,https://www.tokyodisneyresort.jp/tds/restaurant/detail/412/,false,true,2026-08-03
東京ディズニーシー,レストラン,マンマ・ビスコッティーズ・ベーカリー,https://www.tokyodisneyresort.jp/tds/restaurant/detail/401/,false,false,2026-08-03
東京ディズニーシー,レストラン,ミゲルズ・エルドラド・キャンティーナ,https://www.tokyodisneyresort.jp/tds/restaurant/detail/456/,true,false,2026-08-03
東京ディズニーシー,レストラン,ユカタン・ベースキャンプ・グリル,https://www.tokyodisneyresort.jp/tds/restaurant/detail/459/,true,false,2026-08-03
東京ディズニーシー,レストラン,ユカタン・ベースキャンプ・グリル（テイクアウトカウンター）,https://www.tokyodisneyresort.jp/tds/restaurant/detail/452/,true,false,2026-08-03
東京ディズニーシー,レストラン,リストランテ・ディ・カナレット,https://www.tokyodisneyresort.jp/tds/restaurant/detail/408/,false,true,2026-08-03
東京ディズニーシー,レストラン,リフレスコス,https://www.tokyodisneyresort.jp/tds/restaurant/detail/416/,true,false,2026-08-03
東京ディズニーシー,レストラン,リフレッシュメント・ステーション,https://www.tokyodisneyresort.jp/tds/restaurant/detail/419/,false,false,2026-08-03
東京ディズニーシー,レストラン,ルックアウト・クックアウト,https://www.tokyodisneyresort.jp/tds/restaurant/detail/414/,true,false,2026-08-03
